,alias,cur_rating,review_count,avg_rating,rating_1s,rating_2s,rating_3s,rating_4s,rating_5s,rw_review_count,rw_avg_rating,rw_rating_1s,rw_rating_2s,rw_rating_3s,rw_rating_4s,rw_rating_5s,price_range,restaurant_main_type
223,frankie-and-johnnies-steakhouse-new-york-4,3.5,225,3.55,27,35,25,64,74,4,3.5,1,0,1,0,2,$31 to $50,Steakhouse
224,the-shakespeare-new-york,4.0,341,3.83,22,31,42,134,112,3,4.67,0,0,0,1,2,$31 to $50,Other Europe
225,gaby-brasserie-française-new-york,3.0,95,3.16,13,18,17,35,12,2,1.0,2,0,0,0,0,$31 to $50,French
226,southgate-bar-and-restaurant-new-york-4,3.5,185,3.28,28,24,36,63,34,1,5.0,0,0,0,0,1,$31 to $50,American
227,empire-steak-house-new-york-9,3.5,246,3.27,46,36,41,52,71,10,3.9,1,1,2,0,6,$50 and over,Steakhouse
228,state-grill-and-bar-new-york,4.0,123,4.21,7,6,9,33,68,1,4.0,0,0,0,1,0,$31 to $50,American
229,the-lambs-club-new-york,3.0,554,3.22,96,90,92,149,127,4,3.5,1,0,1,0,2,$50 and over,Contemporary American
230,bocca-di-bacco-new-york-4,3.5,169,3.39,26,24,25,46,48,1,3.0,0,0,1,0,0,$30 and under,Italian
231,amma-new-york,4.0,475,3.76,52,31,62,164,166,1,5.0,0,0,0,0,1,$31 to $50,Indian
232,ben-and-jacks-steakhouse-new-york-5,4.0,244,4.13,5,18,30,79,112,13,4.08,1,1,1,3,7,$50 and over,Steakhouse
233,jue-lan-club-new-york,3.0,315,3.17,69,50,36,79,81,9,3.56,1,1,2,2,3,$31 to $50,Chinese
234,empire-steak-house-new-york-11,4.0,232,3.91,25,17,27,49,114,17,3.71,2,1,4,3,7,$50 and over,Steakhouse
235,bread-and-tulips-new-york,4.0,250,3.94,9,12,50,92,87,4,4.25,0,0,0,3,1,$30 and under,Italian
236,tudor-city-steakhouse-new-york,3.5,67,3.46,19,4,5,5,34,2,5.0,0,0,0,0,2,$31 to $50,Steakhouse
237,triomphe-new-york-2,3.5,132,3.6,10,17,24,46,35,0,,0,0,0,0,0,$31 to $50,French
238,blenheim-new-york-3,3.5,214,3.72,27,20,27,52,88,1,2.0,0,1,0,0,0,$31 to $50,Contemporary American
239,darbar-fine-indian-cuisine-new-york-2,4.0,520,4.02,28,40,60,158,234,7,4.71,0,0,1,0,6,$30 and under,Indian
240,zio-ristorante-new-york,4.0,284,4.15,13,19,30,72,150,6,4.33,0,0,2,0,4,$31 to $50,Italian
241,meet-the-meat-astoria,4.5,297,4.47,9,11,14,61,202,17,4.24,0,1,4,2,10,$31 to $50,Steakhouse
242,the-morgan-dining-room-new-york,4.0,23,3.83,0,3,3,12,5,0,,0,0,0,0,0,$30 and under,American
243,montebello-ristorante-italiano-new-york,3.5,83,3.33,11,10,17,31,14,0,,0,0,0,0,0,$31 to $50,Italian
244,darbar-grill-new-york,4.0,498,3.87,34,34,72,180,178,4,3.75,0,0,2,1,1,$30 and under,Indian
245,the-gin-parlour-new-york,3.5,30,3.5,5,2,7,5,11,2,3.0,0,1,0,1,0,$30 and under,Contemporary American
